,source,target,group_sum
0,AmbulatoryDetox,MethUse,1631
1,AmbulatoryDetox,NoMethUse,1825
2,AmbulatoryIntensiveOutpatient,MethUse,9625
3,AmbulatoryIntensiveOutpatient,NoMethUse,24910
4,AmbulatoryNonIntensiveOutpatient,MethUse,116728
5,AmbulatoryNonIntensiveOutpatient,NoMethUse,66809
6,Detox24hFreeStandingRes,MethUse,7561
7,Detox24hFreeStandingRes,NoMethUse,46970
8,Detox24hHospitalInpatient,MethUse,73
9,Detox24hHospitalInpatient,NoMethUse,9002
10,IndependentLiving,AmbulatoryDetox,3456
11,IndependentLiving,AmbulatoryIntensiveOutpatient,34535
12,IndependentLiving,AmbulatoryNonIntensiveOutpatient,183537
13,IndependentLiving,Detox24hFreeStandingRes,54531
14,IndependentLiving,Detox24hHospitalInpatient,9075
15,IndependentLiving,RehabResHospitalNonDetox,313
16,IndependentLiving,RehabResLongTerm,12858
17,IndependentLiving,RehabResShortTerm,28410
18,RehabResHospitalNonDetox,MethUse,95
19,RehabResHospitalNonDetox,NoMethUse,218
20,RehabResLongTerm,MethUse,3856
21,RehabResLongTerm,NoMethUse,9002
22,RehabResShortTerm,MethUse,7199
23,RehabResShortTerm,NoMethUse,21211
