feature_name,feature_importance,feature_importance_out_of_100
SERVICES,1.2467955,0.2445641071873151
STFIPS,0.5278625,0.10354241313957334
REGION,0.32618216,0.06398198077676001
DIVISION,0.323002,0.06335818192724316
PSOURCE,0.32003415,0.06277602305978115
NOPRIOR,0.20421882,0.04005836716156058
FREQ1,0.16237733,0.03185098522900579
DSMCRIT,0.11597098,0.022748187305812448
FREQ_ATND_SELF_HELP,0.10557668,0.020709302800522036
PSYPROB,0.10341248,0.020284786018709616
PRIMPAY,0.10101152,0.019813828351394006
HLTHINS,0.10057907,0.019729000698775395
AGE,0.094335645,0.018504327496390298
ARRESTS,0.0889323,0.01744443854560671
DAYWAIT,0.0885505,0.01736954737473704
DETEMPLOY,0.08638698,0.01694516358598818
PRIMINC,0.076900356,0.015084323179175019
LIVARAG,0.075823665,0.014873125809852825
MARSTAT,0.06357725,0.01247094079146863
SUB2,0.061005022,0.0119663877609814
FREQ2,0.060312267,0.011830501002190876
FRSTUSE1,0.056832273,0.011147885604948437
MTHAMFLG,0.048397414,0.009493353245543791
PREG,0.048132326,0.009441355149884643
HERFLG,0.047296297,0.009277364472277795
EDUC,0.041923672,0.008223501861028219
RACE,0.038806576,0.007612070635691454
IDU,0.038404822,0.007533264938220147
ROUTE2,0.038354337,0.007523362070102653
MARFLG,0.03632869,0.007126022640048337
DETCRIM,0.03591111,0.007044112796785774
ROUTE1,0.035548028,0.0069728928190552954
FRSTUSE2,0.03407375,0.006683707440383363
ALCFLG,0.03331588,0.0065350475016419975
ROUTE3,0.032430492,0.0063613753674465505
SUB3,0.031984568,0.0062739053911035556
SUB1,0.03082386,0.006046227842866528
FRSTUSE3,0.026799986,0.0052569282598865065
FREQ3,0.023936486,0.004695240824708411
ETHNIC,0.019863661,0.0038963394348317045
GENDER,0.013942909,0.0027349594216867115
OPSYNFLG,0.010553438,0.0020701006079402937
VET,0.009812717,0.0019248051379511398
COKEFLG,0.0087700235,0.0017202764208160961
ALCDRUG,0.005582112,0.0010949543622827912
BENZFLG,0.005328845,0.0010452750591453267
METHFLG,0.0033395495,0.000655066468710592
OTHERFLG,0.003161807,0.0006202015515620221
AMPHFLG,0.0019988236,0.0003920775266116093
STIMFLG,0.0014545281,0.0002853117045068853
SEDHPFLG,0.0012746251,0.00025002298614495066
PCPFLG,0.0002984043,5.853324098741735e-05
HALLFLG,0.00021235671,4.1654648056747695e-05
OTCFLG,0.00012462553,2.444581318564331e-05
TRNQFLG,8.399036e-05,1.6475056660959576e-05
BARBFLG,5.3319483e-05,1.0458837467493377e-05
INHFLG,2.8057817e-05,5.503656984554987e-06
